variant,seed,popped_count,terminated,steps,simulation_time,target_switch_count,mean_target_dwell_time,last_target_index,runtime_sec,error
cluster_predictive,65,0,True,1156,11.56,3,2.0100000000000002,59,60.70822350704111,
cluster_predictive,66,0,True,3003,30.03,14,1.7673333333333334,76,111.17482486600056,
cluster_predictive,67,0,True,1104,11.040000000000001,4,1.504,14,64.93081385304686,
cluster_predictive,68,0,True,1106,11.06,5,1.2566666666666666,65,62.15108387300279,
cluster_predictive,69,0,True,1474,14.74,3,2.805,47,68.99901712499559,
cluster_predictive,70,0,True,1040,10.4,9,0.6880000000000001,10,65.96372754999902,
cluster_predictive,71,0,True,1286,12.86,4,1.8679999999999999,85,59.35381317103747,
cluster_predictive,72,0,True,1636,16.36,8,1.4266666666666667,22,73.33004546095617,
cluster_predictive,73,0,True,1152,11.52,3,2.0,69,61.07021810906008,
cluster_predictive,74,0,True,1230,12.3,4,1.7560000000000002,75,62.44440174801275,
cluster_predictive,75,0,True,1776,17.76,3,3.56,61,78.80109676206484,
cluster_predictive,76,0,True,1177,11.77,5,1.375,94,67.98615845898166,
cluster_predictive,77,0,True,1055,10.55,7,0.8787500000000001,35,64.6189111690037,
cluster_predictive,78,0,True,1619,16.19,8,1.4077777777777778,40,68.84539125300944,
cluster_predictive,79,0,True,1185,11.85,6,1.19,25,60.0941752839135,
cluster_predictive,80,0,True,1405,14.05,3,2.6325000000000003,2,66.92741960892454,
cluster_predictive,81,0,True,1483,14.83,3,2.8275,70,68.171056865016,
cluster_predictive,82,0,True,1650,16.5,5,2.1633333333333336,91,73.82820329605602,
cluster_predictive,83,0,True,1603,16.03,5,2.085,81,69.70419836195651,
cluster_predictive,84,0,True,1178,11.78,3,2.065,48,65.70027366396971,
cluster_predictive,85,0,True,1511,15.11,4,2.318,8,74.45339321298525,
cluster_predictive,86,0,True,1056,10.56,3,1.7600000000000002,97,65.00075066101272,
cluster_predictive,87,0,True,1041,10.41,3,1.7225000000000001,7,59.82689998310525,
cluster_predictive,88,0,True,1308,13.08,6,1.3657142857142859,60,67.04933745204471,
cluster_predictive,89,0,True,3133,31.330000000000002,12,2.1392307692307693,75,101.94297986594029,
cluster_predictive,90,0,True,1190,11.9,2,2.7933333333333334,65,65.91252522007562,
cluster_predictive,91,0,True,2880,28.8,11,2.1066666666666665,45,102.79008560592774,
cluster_predictive,92,0,True,1214,12.14,5,1.4366666666666668,57,61.35008134902455,
cluster_predictive,93,0,True,1545,15.450000000000001,5,1.9883333333333333,0,79.81691033300012,
cluster_predictive,94,0,True,956,9.56,4,1.2080000000000002,39,62.22412427398376,
cluster_predictive,95,0,True,1220,12.200000000000001,6,1.24,86,68.27276756800711,
cluster_predictive,96,0,True,1068,10.68,4,1.432,84,62.8759998830501,
cluster_predictive,97,0,True,1392,13.92,4,2.08,16,61.05424396402668,
cluster_predictive,98,0,True,1361,13.61,6,1.4414285714285715,55,65.41486030397937,
cluster_predictive,99,0,True,1282,12.82,5,1.55,28,60.83081643807236,
fast_blend_high_gain_pn3,0,0,True,1338,13.38,3,2.4650000000000003,5,68.69202333199792,
fast_blend_high_gain_pn3,1,0,True,1997,19.97,4,3.2900000000000005,94,79.61737480701413,
fast_blend_high_gain_pn3,2,0,True,1120,11.200000000000001,2,2.56,48,64.0275570860831,
fast_blend_high_gain_pn3,3,0,True,1015,10.15,3,1.6575000000000002,16,61.243884284980595,
fast_blend_high_gain_pn3,4,0,True,1249,12.49,2,2.99,57,73.09602018399164,
fast_blend_high_gain_pn3,5,0,True,1062,10.620000000000001,1,3.55,35,61.29920059302822,
fast_blend_high_gain_pn3,6,0,True,998,9.98,1,3.2300000000000004,41,67.20946911897045,
fast_blend_high_gain_pn3,7,0,True,932,9.32,1,2.9000000000000004,77,56.62346711196005,
fast_blend_high_gain_pn3,8,0,True,1241,12.41,3,2.2225,79,69.12423746392597,
fast_blend_high_gain_pn3,9,0,True,1233,12.33,4,1.762,87,65.02652016491629,
fast_blend_high_gain_pn3,10,1,True,1069,10.69,3,1.7925,4,68.07239612389822,
fast_blend_high_gain_pn3,11,0,True,1718,17.18,4,2.732,37,69.80534392991103,
fast_blend_high_gain_pn3,12,0,True,923,9.23,4,1.1420000000000001,88,58.335350338951685,
fast_blend_high_gain_pn3,13,0,True,1035,10.35,1,3.415,11,64.02544292295352,
fast_blend_high_gain_pn3,14,0,True,2340,23.400000000000002,6,2.8400000000000003,59,91.90044121199753,
fast_blend_high_gain_pn3,15,0,True,1393,13.93,4,2.082,33,66.89244607102592,
fast_blend_high_gain_pn3,16,0,True,1533,15.33,2,3.936666666666667,16,67.72434001497459,
fast_blend_high_gain_pn3,17,0,True,1086,10.86,1,3.67,84,68.38405604299624,
fast_blend_high_gain_pn3,18,0,True,1030,10.3,4,1.3560000000000003,10,64.73698939103633,
fast_blend_high_gain_pn3,19,0,True,1117,11.17,1,3.825,70,67.02225668600295,
fast_blend_high_gain_pn3,20,0,True,1523,15.23,4,2.342,10,74.27994942094665,
fast_blend_high_gain_pn3,21,0,True,996,9.96,2,2.146666666666667,49,58.84113646193873,
fast_blend_high_gain_pn3,22,0,True,1286,12.86,1,4.67,84,70.63068055093754,
fast_blend_high_gain_pn3,23,0,True,1024,10.24,2,2.24,85,56.74235661095008,
fast_blend_high_gain_pn3,24,0,True,1338,13.38,2,3.286666666666667,23,71.51031236408744,
fast_blend_high_gain_pn3,25,0,True,1709,17.09,4,2.7140000000000004,18,80.5513830659911,
fast_blend_high_gain_pn3,26,0,True,1814,18.14,4,2.924,78,77.7099192419555,
fast_blend_high_gain_pn3,27,0,True,1196,11.96,2,2.813333333333334,50,62.04738123889547,
fast_blend_high_gain_pn3,28,0,True,1417,14.17,3,2.6625,3,64.30665319599211,
fast_blend_high_gain_pn3,29,0,True,1605,16.05,3,3.1325,48,75.10885913507082,
fast_blend_high_gain_pn3,30,0,True,1387,13.870000000000001,3,2.5875,80,66.98932573990896,
fast_blend_high_gain_pn3,31,0,True,1348,13.48,4,1.9920000000000002,86,70.9748339119833,
fast_blend_high_gain_pn3,32,0,True,1321,13.21,1,4.845000000000001,64,64.81708450394217,
fast_blend_high_gain_pn3,33,0,True,2311,23.11,7,2.4487500000000004,32,93.90381450299174,
fast_blend_high_gain_pn3,34,0,True,1860,18.6,4,3.016,25,84.67641205305699,
fast_blend_high_gain_pn3,35,0,True,986,9.86,2,2.1133333333333333,67,58.51250041904859,
fast_blend_high_gain_pn3,36,0,True,1003,10.03,5,1.085,73,65.2542466399027,
fast_blend_high_gain_pn3,37,0,True,1888,18.88,3,3.8400000000000003,66,73.30882270401344,
fast_blend_high_gain_pn3,38,0,True,1434,14.34,2,3.606666666666667,57,69.74005504907109,
fast_blend_high_gain_pn3,39,0,True,1398,13.98,3,2.615,19,64.08090170600917,
fast_blend_high_gain_pn3,40,0,True,1406,14.06,1,5.2700000000000005,66,66.654350877041,
fast_blend_high_gain_pn3,41,0,True,1734,17.34,4,2.7640000000000002,82,82.62310746801086,
fast_blend_high_gain_pn3,42,0,True,1474,14.74,3,2.805,93,73.04633268201724,
fast_blend_high_gain_pn3,43,0,True,1091,10.91,2,2.4633333333333334,82,66.38227431906853,
fast_blend_high_gain_pn3,44,0,True,1381,13.81,4,2.0580000000000003,1,65.68952107604127,
fast_blend_high_gain_pn3,45,0,True,1380,13.8,6,1.4685714285714286,1,69.34625970106572,
fast_blend_high_gain_pn3,46,0,True,1058,10.58,3,1.7650000000000001,44,59.802851371932775,
fast_blend_high_gain_pn3,47,0,True,1098,10.98,3,1.8650000000000002,18,60.33954735996667,
fast_blend_high_gain_pn3,48,0,True,1860,18.6,6,2.1542857142857144,83,84.15093795198482,
fast_blend_high_gain_pn3,49,0,True,2766,27.66,6,3.448571428571429,95,92.03673543699551,
fast_blend_high_gain_pn3,50,0,True,959,9.59,3,1.5175,31,61.63750485505443,
fast_blend_high_gain_pn3,51,0,True,1245,12.450000000000001,2,2.9766666666666666,30,69.35868327098433,
fast_blend_high_gain_pn3,52,0,True,1533,15.33,5,1.9683333333333335,3,77.94095580093563,
fast_blend_high_gain_pn3,53,0,True,1250,12.5,3,2.245,38,72.49522245093249,
fast_blend_high_gain_pn3,54,0,True,1076,10.76,3,1.81,26,65.27524192398414,
fast_blend_high_gain_pn3,55,0,True,1423,14.23,2,3.5700000000000003,54,76.0519665289903,
fast_blend_high_gain_pn3,56,0,True,1042,10.42,3,1.725,65,58.68513304006774,
fast_blend_high_gain_pn3,57,0,True,937,9.370000000000001,3,1.4625,29,59.81318030098919,
fast_blend_high_gain_pn3,58,0,True,1759,17.59,4,2.8140000000000005,36,74.08152419002727,
fast_blend_high_gain_pn3,59,0,True,1140,11.4,3,1.9700000000000002,35,59.50673544895835,
fast_blend_high_gain_pn3,60,0,True,1044,10.44,2,2.3066666666666666,42,58.68611881299876,
fast_blend_high_gain_pn3,61,0,True,1174,11.74,2,2.74,6,69.57486823596992,
fast_blend_high_gain_pn3,62,0,True,998,9.98,5,1.0766666666666669,13,63.680033897049725,
fast_blend_high_gain_pn3,63,0,True,1047,10.47,2,2.316666666666667,29,63.33527913002763,
fast_blend_high_gain_pn3,64,0,True,1697,16.97,2,4.483333333333333,80,75.3228118539555,
fast_blend_high_gain_pn3,65,0,True,1207,12.07,1,4.275,31,67.07823103503324,
fast_blend_high_gain_pn3,66,0,True,1070,10.700000000000001,5,1.1966666666666665,37,62.46842321997974,
fast_blend_high_gain_pn3,67,0,True,1259,12.59,7,1.13375,6,69.07917132100556,
fast_blend_high_gain_pn3,68,0,True,1229,12.290000000000001,2,2.923333333333334,87,59.439769293996505,
fast_blend_high_gain_pn3,69,0,True,1321,13.21,2,3.2300000000000004,2,70.87699348502792,
fast_blend_high_gain_pn3,70,0,True,1016,10.16,6,0.9485714285714286,49,64.23324520001188,
fast_blend_high_gain_pn3,71,0,True,1242,12.42,4,1.7799999999999998,85,69.39336826198269,
fast_blend_high_gain_pn3,72,0,True,1440,14.4,5,1.8133333333333335,15,75.84050858102273,
fast_blend_high_gain_pn3,73,0,True,1267,12.67,3,2.2875,69,66.15665714500938,
fast_blend_high_gain_pn3,74,0,True,1319,13.19,2,3.223333333333333,66,74.92551962693688,
fast_blend_high_gain_pn3,75,0,True,1110,11.1,1,3.79,82,63.605685079004616,
fast_blend_high_gain_pn3,76,0,True,1199,11.99,2,2.8233333333333337,44,62.794528539991006,
fast_blend_high_gain_pn3,77,0,True,998,9.98,3,1.6150000000000002,24,57.58100036694668,
fast_blend_high_gain_pn3,78,0,True,1250,12.5,4,1.796,30,70.5364477209514,
fast_blend_high_gain_pn3,79,0,True,1139,11.39,2,2.6233333333333335,2,56.748436369001865,
fast_blend_high_gain_pn3,80,0,True,1463,14.63,5,1.8516666666666668,2,70.47361590701621,
fast_blend_high_gain_pn3,81,0,True,1542,15.42,2,3.966666666666667,70,66.69713358697481,
fast_blend_high_gain_pn3,82,0,True,1748,17.48,4,2.792,61,82.61217192804907,
fast_blend_high_gain_pn3,83,0,True,1554,15.540000000000001,3,3.0050000000000003,64,76.4675591790583,
fast_blend_high_gain_pn3,84,0,True,970,9.700000000000001,3,1.5449999999999997,56,60.66731505608186,
fast_blend_high_gain_pn3,85,0,True,1698,16.98,2,4.486666666666666,14,74.87188772694208,
fast_blend_high_gain_pn3,86,0,True,1036,10.36,2,2.28,97,63.012084321002476,
fast_blend_high_gain_pn3,87,0,True,984,9.84,2,2.106666666666667,5,61.27643095399253,
fast_blend_high_gain_pn3,88,0,True,1335,13.35,3,2.4575,18,73.47875565197319,
fast_blend_high_gain_pn3,89,0,True,1304,13.040000000000001,3,2.3800000000000003,8,65.3296627929667,
fast_blend_high_gain_pn3,90,0,True,1099,10.99,2,2.49,94,62.57874554290902,
fast_blend_high_gain_pn3,91,0,True,1488,14.88,3,2.8400000000000003,99,74.11957297404297,
fast_blend_high_gain_pn3,92,0,True,1121,11.21,2,2.563333333333334,39,60.92385397001635,
fast_blend_high_gain_pn3,93,0,True,1103,11.03,2,2.5033333333333334,63,62.48702150990721,
fast_blend_high_gain_pn3,94,0,True,931,9.31,1,2.8950000000000005,57,55.02161289798096,
fast_blend_high_gain_pn3,95,0,True,1671,16.71,2,4.3966666666666665,11,65.74024789198302,
fast_blend_high_gain_pn3,96,0,True,1005,10.05,1,3.2650000000000006,53,56.77378253208008,
fast_blend_high_gain_pn3,97,0,True,1453,14.530000000000001,5,1.835,59,59.81088037090376,
fast_blend_high_gain_pn3,98,0,True,998,9.98,3,1.6150000000000002,13,52.46491362398956,
fast_blend_high_gain_pn3,99,0,True,1502,15.02,2,3.8333333333333335,65,58.5877717329422,
high_gain,0,0,True,1437,14.370000000000001,3,2.7125,5,66.881112460047,
high_gain,1,0,True,2782,27.82,10,2.209090909090909,33,95.30742414202541,
high_gain,2,0,True,1207,12.07,2,2.85,48,65.65016836603172,
high_gain,3,0,True,1064,10.64,3,1.7800000000000002,16,60.61988257803023,
high_gain,4,0,True,3233,32.33,4,5.7620000000000005,88,105.77034214092419,
high_gain,5,0,True,1086,10.86,1,3.67,35,66.5941938579781,
high_gain,6,0,True,1064,10.64,1,3.5600000000000005,41,59.634600267978385,
high_gain,7,0,True,965,9.65,1,3.0650000000000004,77,63.807122780010104,
high_gain,8,0,True,1250,12.5,3,2.245,79,68.018983448972,
high_gain,9,0,True,1174,11.74,4,1.6440000000000001,70,63.19844181090593,
high_gain,10,0,True,1117,11.17,2,2.5500000000000003,55,63.883745422936045,
high_gain,11,0,True,1728,17.28,4,2.752,37,77.19290261599235,
high_gain,12,0,True,963,9.63,4,1.2220000000000002,88,62.892514597042464,
high_gain,13,0,True,1091,10.91,1,3.6950000000000003,11,68.14819918200374,
high_gain,14,0,True,2621,26.21,6,3.241428571428571,35,99.50081892102025,
high_gain,15,0,True,1491,14.91,4,2.278,33,70.17459427600261,
high_gain,16,0,True,1901,19.01,6,2.212857142857143,49,81.35834929498378,
high_gain,17,0,True,1152,11.52,1,4.0,84,64.52279058401473,
high_gain,18,0,True,1042,10.42,4,1.3800000000000001,10,61.23447397502605,
high_gain,19,0,True,1168,11.68,2,2.72,68,68.00860977498814,
high_gain,20,0,True,1534,15.34,3,2.955,73,63.79706700204406,
high_gain,21,0,True,1141,11.41,1,3.9450000000000003,20,62.007526085944846,
high_gain,22,0,True,1464,14.64,3,2.7800000000000002,95,66.86181198700797,
high_gain,23,0,True,1086,10.86,2,2.4466666666666668,85,63.54259681003168,
high_gain,24,0,True,1412,14.120000000000001,2,3.533333333333333,23,70.89348168100696,
